scheme_id,name,provider_type,support_type,business_tags,summary,eligibility_summary,location_scope,business_stage,status,source_url,source_reference,verification
DAY_NRLM,DAY-NRLM,central_government,livelihood_credit,"rural_livelihood,shg,food_processing,livestock,agri_services","Rural livelihood and enterprise support through SHGs, federations and financial inclusion mechanisms.",Primarily relevant to eligible rural SHG/livelihood ecosystems; state implementation varies.,India,"new,existing",verify_current,https://nrlm.gov.in/,DAY-NRLM,official_source_not_independently_retrieved
PM_SVANIDHI,PM Street Vendor's AtmaNirbhar Nidhi,central_government,working_capital_credit,"street_vending,micro_trading,services",Working-capital credit support for eligible street vendors.,Street-vendor status and scheme-specific eligibility are required.,India,"new,existing",verify_current,https://pmsvanidhi.mohua.gov.in/,PM SVANidhi portal,official_source_not_independently_retrieved
SISFS,Startup India Seed Fund Scheme,central_government,seed_funding,"startup,technology,agri_tech,food_tech,innovation","Financial assistance for proof of concept, prototype, trials, market entry and commercialization through eligible incubators.","DPIIT recognition, incorporation age and other scheme criteria apply.",India,startup,application_deadline_passed_2026_verify_reopening,https://seedfund.startupindia.gov.in/,Startup India Seed Fund portal,official_source_checked
CGSS,Credit Guarantee Scheme for Startups,central_government,credit_guarantee,"startup,technology,innovation",Credit guarantee support for debt extended by eligible member institutions to DPIIT-recognised startups.,"DPIIT-recognised startup, lender/member-institution and current framework conditions apply.",India,startup,active_verify_current,https://www.startupindia.gov.in/santhali/content/sih/en/credit-guarantee-scheme-for-startups.html,Startup India / DPIIT,official_source_checked
ASPIRE,"A Scheme for Promotion of Innovation, Rural Industry & Entrepreneurship",central_government,grant_support,"rural_industry,incubation,innovation,agri_processing,livelihood","Support for innovation, rural industry and entrepreneurship through approved mechanisms such as livelihood business incubators.",Beneficiary/institution and component-specific project conditions apply.,India,"new,existing",active_verify_component,https://www.dashboard.msme.gov.in/aspire.aspx,Ministry of MSME,official_source_checked
SFURTI,Scheme of Fund for Regeneration of Traditional Industries,central_government,cluster_support,"traditional_industry,artisan,handicraft,rural_industry",Cluster-based support for traditional industries and artisan ecosystems.,Cluster/institution/entity and component-specific conditions apply.,India,"existing,cluster",active_verify_current,https://my.msme.gov.in/mymsme/Scheme.aspx,MyMSME / Ministry of MSME,official_source_checked
NATIONAL_SC_ST_HUB,National SC-ST Hub,central_government,procurement_capacity_support,"sc_st_mse,manufacturing,services,msme","Support ecosystem for SC/ST entrepreneurs and MSEs, including procurement and capacity-building support.",SC/ST-owned MSE and component-specific rules apply.,India,"new,existing",active_verify_current,https://my.msme.gov.in/mymsme/Scheme.aspx,MyMSME / Ministry of MSME,official_source_checked
PUNJAB_STARTUP_INCENTIVES,Punjab Startup Incentives / Industrial & Business Development Policy,state_government,interest_subsidy_incentives,"startup,manufacturing,services,innovation",Punjab policy framework contains startup incentives; the exact current policy/version must be checked before matching.,Punjab location plus startup registration/recognition and current policy conditions.,Punjab,startup,verify_current_policy_version,https://punjab.gov.in/wp-content/uploads/2021/10/Guidelines-of-Industrial-and-Business-Development-Policy-2017-2018-PDF-2.3MB.pdf,Government of Punjab policy document,official_source_checked_but_legacy_version
PUNJAB_SC_TERM_LOAN,Punjab Term Loan to SC,state_government,term_loan,"sc_entrepreneur,micro_enterprise,services,manufacturing,trading",Punjab government service listing for term-loan assistance to eligible SC beneficiaries.,SC category plus Punjab implementing-agency income/asset/loan conditions must be verified.,Punjab,"new,existing",verify_current_rules,https://punjab.gov.in/forms/,Government of Punjab service listing,official_source_checked
PUNJAB_OBC_TERM_LOAN,Punjab Term Loan to OBC,state_government,term_loan,"obc_entrepreneur,micro_enterprise,services,manufacturing,trading",Punjab government service listing for term-loan assistance to eligible OBC beneficiaries.,OBC category plus Punjab implementing-agency income/asset/loan conditions must be verified.,Punjab,"new,existing",verify_current_rules,https://punjab.gov.in/forms/,Government of Punjab service listing,official_source_checked
SBI_PMMY,SBI PMMY,bank,term_loan_working_capital,"dairy,flour_processing,farm_equipment,manufacturing,trading,services,allied_agriculture",SBI lending channel for PMMY; lender-specific appraisal and pricing apply.,PMMY eligibility plus SBI credit appraisal and current bank terms.,India,"new,existing",active_verify_bank_terms,https://sbi.co.in/web/business/sme/sme-government-schemes/pmmy,State Bank of India,official_source_checked
SBI_FOOD_PROCESSING,SBI Food Processing Industry Loan,bank,term_loan,"food_processing,dairy_processing,flour_processing",Industry-specific SBI lending product for food-processing businesses.,"Bank credit appraisal, security, project and financial conditions apply.",India,"new,existing",active_verify_bank_terms,https://sbi.co.in/web/business/sme/sme-loans/industry-specific-loans,State Bank of India,official_source_checked
SBI_CONSTRUCTION_EQUIPMENT,SBI Construction Equipment Loan,bank,asset_finance,"construction_equipment,equipment",Industry-specific equipment finance product listed by SBI.,"Asset, borrower and bank credit appraisal conditions apply.",India,"new,existing",active_verify_bank_terms,https://sbi.co.in/web/business/sme/sme-loans/industry-specific-loans,State Bank of India,official_source_checked
PNB_DIGI_MSME,PNB Digi MSME Loan,bank,msme_loan,"msme,manufacturing,services,trading",PNB digital MSME lending product listed in its MSME scheme catalogue.,Current PNB product eligibility and credit appraisal apply.,India,"new,existing",active_verify_bank_terms,https://www.pnbindia.in/misc.aspx,Punjab National Bank,official_source_checked
PNB_EMUDRA,PNB e-Mudra,bank,mudra,"micro_enterprise,dairy,flour_processing,services,trading",PNB channel/product for MUDRA lending.,Current PMMY and PNB product rules apply.,India,"new,existing",active_verify_bank_terms,https://www.pnbindia.in/misc.aspx,Punjab National Bank,official_source_checked
